self-play次数	loss	entropy											self-play次数	loss	entropy
5	4.164762974	2.797839165											5	4.164762974	2.797839165
6	3.770053625	2.84523654											6	3.770053625	2.84523654
7	3.43313694	2.819163322											7	3.43313694	2.819163322
8	3.452013254	2.819470882											8	3.452013254	2.819470882
9	3.463526964	2.709026098											9	3.463526964	2.709026098
10	3.406447887	2.749894381											10	3.406447887	2.749894381
11	3.360697269	2.690734625											11	3.360697269	2.690734625
12	3.345099211	2.68242836											12	3.345099211	2.68242836
13	3.33865571	2.705317974											13	3.33865571	2.705317974
14	3.267580986	2.688581705											14	3.267580986	2.688581705
15	3.230499268	2.653755903											15	3.230499268	2.653755903
16	3.185530186	2.645951986											16	3.185530186	2.645951986
17	3.223158836	2.602325201											17	3.223158836	2.602325201
18	3.228714943	2.626502991											18	3.228714943	2.626502991
19	3.198304653	2.591725826											19	3.198304653	2.591725826
20	3.231202841	2.635761976											20	3.231202841	2.635761976
21	3.194962978	2.634622097											21	3.194962978	2.634622097
22	3.216814756	2.594825983											22	3.216814756	2.594825983
23	3.190978289	2.64699769											23	3.190978289	2.64699769
24	3.233640194	2.612829208											24	3.233640194	2.612829208
25	3.19149971	2.602546453											25	3.19149971	2.602546453
26	3.166082144	2.601912022											26	3.166082144	2.601912022
27	3.160195589	2.62075305											27	3.160195589	2.62075305
28	3.13967967	2.635768414											28	3.13967967	2.635768414
29	3.18254137	2.588824272											29	3.18254137	2.588824272
30	3.075782299	2.579138517											30	3.075782299	2.579138517
31	3.110159159	2.607834578											31	3.110159159	2.607834578
32	3.119848728	2.602336645											32	3.119848728	2.602336645
33	3.097446442	2.554161072											33	3.097446442	2.554161072
34	3.051845789	2.579657793											34	3.051845789	2.579657793
35	3.112517834	2.614665031											35	3.112517834	2.614665031
36	3.217037678	2.562305212											36	3.217037678	2.562305212
37	3.210713387	2.582274199											37	3.210713387	2.582274199
38	3.103726625	2.625344753											38	3.103726625	2.625344753
39	3.17445755	2.546303749											39	3.17445755	2.546303749
40	3.184167862	2.602018595											40	3.184167862	2.602018595
41	3.13903451	2.527890444											41	3.13903451	2.527890444
42	3.093227148	2.536480188											42	3.093227148	2.536480188
43	3.120364189	2.564852715											43	3.120364189	2.564852715
44	3.203442097	2.552914381											44	3.203442097	2.552914381
45	3.095938683	2.563813448											45	3.095938683	2.563813448
46	3.139039755	2.541973352											46	3.139039755	2.541973352
47	3.086544514	2.512393475											47	3.086544514	2.512393475
48	3.088126659	2.549155951											48	3.088126659	2.549155951
49	3.048832655	2.471597195											49	3.048832655	2.471597195
50	3.063948631	2.553678513											50	3.063948631	2.553678513
51	3.125168562	2.487483025											51	3.125168562	2.487483025
52	3.083746195	2.486502886											52	3.083746195	2.486502886
53	3.054597378	2.557308435											53	3.054597378	2.557308435
54	3.133369207	2.539659262											54	3.133369207	2.539659262
55	3.084849596	2.574951649											55	3.084849596	2.574951649
56	3.070201874	2.513943672											56	3.070201874	2.513943672
57	3.016624451	2.464714289											57	3.016624451	2.464714289
58	3.010812998	2.523620367											58	3.010812998	2.523620367
59	3.063134432	2.517675161											59	3.063134432	2.517675161
60	3.062474728	2.500247478											60	3.062474728	2.500247478
61	3.049201965	2.509113073											61	3.049201965	2.509113073
62	3.181355	2.574720383											62	3.181355	2.574720383
63	3.095428467	2.537221193											63	3.095428467	2.537221193
64	3.101222992	2.56805563											64	3.101222992	2.56805563
65	3.120214462	2.534041882											65	3.120214462	2.534041882
66	3.055779934	2.480572939											66	3.055779934	2.480572939
67	3.020514011	2.504375935											67	3.020514011	2.504375935
68	3.035338402	2.480193615											68	3.035338402	2.480193615
69	3.031151295	2.528330803											69	3.031151295	2.528330803
70	3.16241312	2.508149862											70	3.16241312	2.508149862
71	3.047655106	2.513041258											71	3.047655106	2.513041258
72	3.055822611	2.52337265											72	3.055822611	2.52337265
73	3.061615944	2.521478653											73	3.061615944	2.521478653
74	3.035161018	2.510314703											74	3.035161018	2.510314703
75	3.037578344	2.492339849											75	3.037578344	2.492339849
76	2.99069643	2.480028152											76	2.99069643	2.480028152
77	3.011094809	2.510458708											77	3.011094809	2.510458708
78	3.005059719	2.517129898											78	3.005059719	2.517129898
79	3.097979546	2.514159918											79	3.097979546	2.514159918
80	3.030325651	2.544545412											80	3.030325651	2.544545412
81	3.104579449	2.535813093											81	3.104579449	2.535813093
82	3.006084442	2.512497425											82	3.006084442	2.512497425
83	2.978696108	2.527953148											83	2.978696108	2.527953148
84	2.936887503	2.470621109											84	2.936887503	2.470621109
85	2.965772152	2.511852026											85	2.965772152	2.511852026
86	2.953644276	2.492759943											86	2.953644276	2.492759943
87	2.979536295	2.550410986											87	2.979536295	2.550410986
88	2.98312974	2.426216841											88	2.98312974	2.426216841
89	2.918600082	2.472029209											89	2.918600082	2.472029209
90	2.900521278	2.448426485											90	2.900521278	2.448426485
91	3.022862434	2.534785509											91	3.022862434	2.534785509
92	2.948442936	2.482790232											92	2.948442936	2.482790232
93	3.026345491	2.50973177											93	3.026345491	2.50973177
94	2.978692532	2.527331591											94	2.978692532	2.527331591
95	2.997433662	2.5109272											95	2.997433662	2.5109272
96	2.911507607	2.481477261											96	2.911507607	2.481477261
97	3.008626461	2.465779305											97	3.008626461	2.465779305
98	2.956328869	2.435185671											98	2.956328869	2.435185671
99	2.999017715	2.500376701											99	2.999017715	2.500376701
100	2.954737663	2.463317633											100	2.954737663	2.463317633
