self-play´ÎÊý	loss	entropy
8	3.7749331	2.767623663
9	3.744986296	2.758814335
10	3.690165281	2.716382027
11	3.608828545	2.615335703
12	3.550886631	2.578991652
13	3.53632164	2.578077555
14	3.501234055	2.493474483
15	3.475126743	2.521199942
16	3.454958916	2.492684603
17	3.435302019	2.455661535
18	3.414597034	2.43821454
19	3.374398947	2.40411973
20	3.399074078	2.427315474
21	3.400607586	2.436019421
22	3.358752012	2.394656658
23	3.367856979	2.391377926
24	3.380368948	2.40162015
25	3.359772682	2.367234707
26	3.334197044	2.37276125
27	3.341898441	2.367180824
28	3.311422348	2.358222961
29	3.360267878	2.378008127
30	3.356842756	2.383322477
31	3.320832491	2.345933199
32	3.304158449	2.334912062
33	3.351061821	2.362365007
34	3.351644516	2.337621689
35	3.311657429	2.359029293
36	3.363996029	2.383719444
37	3.335768938	2.364573717
38	3.313816071	2.311980724
39	3.318919182	2.362084389
40	3.289759636	2.321082354
41	3.349868536	2.370483398
42	3.356879234	2.371359587
43	3.313037872	2.341877699
44	3.347807646	2.365195751
45	3.318252325	2.354242563
46	3.34573102	2.345796108
47	3.323391438	2.352282524
48	3.342505693	2.349009275
49	3.350007534	2.373023748
50	3.30768919	2.342629194
51	3.333260059	2.353735209
52	3.332743645	2.360664368
53	3.354180336	2.366275787
54	3.315915108	2.327848434
55	3.327640057	2.343884468
56	3.317233562	2.344879389
57	3.306074142	2.331032991
58	3.315674305	2.326109648
59	3.284847736	2.311704874
60	3.2751441	2.314546108
61	3.33220005	2.355421543
62	3.306075811	2.334081888
63	3.315216064	2.325325489
64	3.29742384	2.330105782
65	3.31342864	2.308169365
66	3.320233345	2.349243641
67	3.310370445	2.334358931
68	3.305464268	2.32068634
69	3.339224815	2.348802328
70	3.295806885	2.295959711
71	3.300340414	2.347545624
72	3.285194159	2.310640574
73	3.287701607	2.312048912
74	3.312876225	2.33447814
75	3.260095596	2.278744459
76	3.282554626	2.304013491
77	3.273675919	2.305633545
78	3.286487579	2.319537401
79	3.278467417	2.307690382
80	3.263581038	2.284129143
81	3.280651331	2.30670929
82	3.321974039	2.337903261
83	3.309946537	2.327334881
84	3.248448372	2.27042222
85	3.290039539	2.319815636
86	3.295440197	2.318577528
87	3.291840792	2.294733763
88	3.325098991	2.358049631
89	3.290841579	2.279907465
90	3.286442995	2.324328899
91	3.235803843	2.269041538
92	3.310874462	2.331229687
93	3.325633764	2.31048274
94	3.312068462	2.329589605
95	3.347601414	2.35987258
96	3.279599667	2.309434175
97	3.265050411	2.301881313
98	3.239239931	2.261140585
99	3.311369181	2.319591761
100	3.283465147	2.292766809
101	3.316361427	2.316610336
102	3.288216829	2.333551645
103	3.293809652	2.322960615
104	3.25663805	2.274035454
105	3.266243458	2.311133623
106	3.245612621	2.281688929
107	3.279884815	2.285619736
108	3.253401756	2.287348747
109	3.26052928	2.282889843
110	3.320222139	2.325395823
111	3.224259853	2.263821363
112	3.336249828	2.335178375
113	3.29061079	2.313524008
114	3.250905991	2.282473087
115	3.298881531	2.325749159
116	3.22878027	2.270779133
117	3.253734589	2.272776365
118	3.29132247	2.308019876
119	3.223660707	2.247166634
120	3.254753351	2.281443596
121	3.245667458	2.257134438
122	3.287247419	2.304757357
123	3.276185036	2.294364214
124	3.295368433	2.311719656
125	3.284044266	2.313947916
126	3.303483725	2.309772253
127	3.264170647	2.300038576
128	3.271020412	2.307156086
129	3.262231588	2.287488699
130	3.271151543	2.263115168
131	3.295963764	2.302107096
132	3.285126686	2.310545921
133	3.218465805	2.261492491
134	3.268437386	2.261846781
135	3.225735426	2.244753599
136	3.28830719	2.285609245
137	3.272786617	2.272268534
138	3.262058258	2.282796383
139	3.272565365	2.304704189
140	3.207441092	2.214457512
141	3.298287392	2.329297543
142	3.228350639	2.257557154
143	3.260801792	2.260680676
144	3.238384724	2.257136106
145	3.263973713	2.286561728
146	3.23025465	2.274924278
147	3.247346163	2.269786596
148	3.252101421	2.262624025
149	3.289646626	2.289720058
150	3.273480892	2.292196274
151	3.317358971	2.328420877
152	3.231868982	2.264302254
153	3.205275536	2.253983498
154	3.239135742	2.252914667
155	3.28911829	2.306436777
156	3.263691425	2.294721603
157	3.279398441	2.274795532
158	3.222688437	2.249148846
159	3.280320644	2.266738415
160	3.252019882	2.257024527
161	3.246216297	2.276180983
162	3.264956951	2.279601574
163	3.242534637	2.254920721
164	3.269060135	2.295321703
165	3.288732767	2.292963743
166	3.224670887	2.242776632
167	3.258304119	2.296171188
168	3.242885113	2.235785007
169	3.21214962	2.230787992
170	3.213005543	2.246967554
171	3.238360882	2.254295588
172	3.26285553	2.301614046
